word,has_university,has_state_name,has_state_word,length,has_dash,all_capital,has_num,label
rochesterinstituteoftechnology,1,0,0,30,0,0,0,1
total,0,0,0,5,0,0,0,0
rochesterinstituteoftechnology,1,0,0,30,0,0,0,1
offers,0,0,0,6,0,0,0,0
catholicuniversityofamerica,1,0,0,27,0,0,0,1
1887,0,0,0,4,0,0,1,0
cua,0,0,0,3,0,1,0,1
for,0,0,0,3,0,0,0,0
universityofcalifornia--riverside,1,0,0,33,1,0,0,1
"18,608",0,0,0,6,0,0,1,0
ucr,0,0,0,3,0,1,0,1
school's,0,0,0,8,0,0,0,0
adelphiuniversity,1,0,0,17,0,0,0,1
undergraduate,0,0,0,13,0,0,0,0
acres,0,0,0,5,0,0,0,0
alliantinternationaluniversity,1,0,0,30,0,0,0,1
students,0,0,0,8,0,0,0,0
aiuniversity,1,0,0,12,0,0,0,1
strive,0,0,0,6,0,0,0,0
americaninternationalcollege,1,0,0,28,0,0,0,1
aic,0,0,0,3,0,1,0,1
yellowjackets,0,0,0,13,0,0,0,0
ncaadivision,0,0,0,12,0,0,0,0
americanuniversity,1,0,0,18,0,0,0,1
americanuniversity,1,0,0,18,0,0,0,1
political,0,0,0,9,0,0,0,0
of,0,0,0,2,0,0,0,0
museums,0,0,0,7,0,0,0,0
americanuniversity,1,0,0,18,0,0,0,1
andrewsuniversity,1,0,0,17,0,0,0,1
"1,733",0,0,0,5,0,0,1,0
rural,0,0,0,5,0,0,0,0
argosyuniversity,1,0,0,16,0,0,0,1
unranked,0,0,0,8,0,0,0,0
arizonastateuniversity--tempe,0,1,1,29,1,0,0,1
it,0,0,0,2,0,0,0,0
(2015-16),0,0,0,9,1,0,1,0
asu-tempe,0,0,0,9,1,0,0,1
w.p.careyschoolofbusiness,0,0,0,25,0,0,0,0
ashlanduniversity,1,0,0,17,0,0,0,1
auniversity,1,0,0,11,0,0,0,1
newmancatholic,0,0,0,14,0,0,0,0
ashlandeagles,0,0,0,13,0,0,0,0
auburnuniversity,1,0,0,16,0,0,0,1
auburnuniversity,1,0,0,16,0,0,0,1
space,0,0,0,5,0,0,0,0
auburnuniversity,1,0,0,16,0,0,0,1
urbanstudio,0,0,0,11,0,0,0,0
kathrynthornton,0,0,0,15,0,0,0,0
augustauniversity,1,0,0,17,0,0,0,1
clinicalcare,0,0,0,12,0,0,0,0
au,0,0,0,2,0,1,0,1
compassion,0,0,0,10,0,0,0,0
vision,0,0,0,6,0,0,0,0
azusapacificuniversity,1,0,0,22,0,0,0,1
institution,0,0,0,11,0,0,0,0
fees,0,0,0,4,0,0,0,0
ballstateuniversity,1,0,1,19,0,0,0,1
"$9,654",0,0,0,6,0,0,1,0
bsu,0,0,0,3,0,1,0,1
indianapolis,0,0,0,12,0,0,0,0
barryuniversity,1,0,0,15,0,0,0,1
andreasschoolofbusiness,0,0,0,23,0,0,0,1
dwayneo.andreasschooloflaw,0,0,0,26,0,0,0,1
adriandominicanschoolofeducation,0,0,0,32,0,0,0,1
saturdays,0,0,0,9,0,0,0,0
bachelor,0,0,0,8,0,0,0,0
master,0,0,0,6,0,0,0,0
jesusestévez,0,0,0,13,0,0,0,0
st.augustine,0,0,0,12,0,0,0,0
benedictineuniversity,1,0,0,21,0,0,0,1
ethnic,0,0,0,6,0,0,0,0
lifetime,0,0,0,8,0,0,0,0
binghamtonuniversity--suny,0,0,0,26,1,0,0,1
undergraduate,0,0,0,13,0,0,0,0
campus,0,0,0,6,0,0,0,0
is,0,0,0,2,0,0,0,0
binghamtonuniversity,1,0,0,20,0,0,0,1
binghamtonuniversity,1,0,0,20,0,0,0,1
biolauniversity,1,0,0,15,0,0,0,1
was,0,0,0,3,0,0,0,0
has,0,0,0,3,0,0,0,0
boisestateuniversity,1,0,1,20,0,0,0,1
"19,122",0,0,0,6,0,0,1,0
national,0,0,0,8,0,0,0,0
bsu,0,0,0,3,0,1,0,1
boisestate,0,0,1,10,0,0,0,1
degree,0,0,0,6,0,0,0,0
boisestateuniv,0,0,1,14,0,0,0,1
dancefestival,0,0,0,13,0,0,0,0
bostoncollege,1,0,0,13,0,0,0,1
has,0,0,0,3,0,0,0,0
bc,0,0,0,2,0,1,0,1
live,0,0,0,4,0,0,0,0
bostonuniversity,1,0,0,16,0,0,0,1
bu,0,0,0,2,0,1,0,1
has,0,0,0,3,0,0,0,0
also,0,0,0,4,0,0,0,0
80,0,0,0,2,0,0,1,0
bu,0,0,0,2,0,1,0,1
bowlinggreenstateuniversity,1,0,1,27,0,0,0,1
academic,0,0,0,8,0,0,0,0
bgsu,0,0,0,4,0,1,0,1
miles,0,0,0,5,0,0,0,0
brandeisuniversity,1,0,0,18,0,0,0,1
that,0,0,0,4,0,0,0,0
has,0,0,0,3,0,0,0,0
size,0,0,0,4,0,0,0,0
brandeisuniversity,1,0,0,18,0,0,0,1
brandeisuniversity,1,0,0,18,0,0,0,1
brighamyounguniversity--provo,0,0,0,29,1,0,0,1
brighamyounguniversity--provo,0,0,0,29,1,0,0,1
life,0,0,0,4,0,0,0,0
religion,0,0,0,8,0,0,0,0
at,0,0,0,2,0,0,0,0
byu,0,0,0,3,0,1,0,1
brownuniversity,1,0,0,15,0,0,0,1
brownuniversity,1,0,0,15,0,0,0,1
brownuniversity,1,0,0,15,0,0,0,1
team,0,0,0,4,0,0,0,0
consistently,0,0,0,12,0,0,0,0
housing,0,0,0,7,0,0,0,0
californiainstituteofintegralstudies,1,1,0,36,0,0,0,1
ciis,0,0,0,4,0,1,0,1
synthesize,0,0,0,10,0,0,0,0
encompass,0,0,0,9,0,0,0,0
californiainstituteoftechnology,1,1,0,31,0,0,0,1
californiainstituteoftechnology,1,1,0,31,0,0,0,1
caltech,0,0,0,7,0,0,0,1
located,0,0,0,7,0,0,0,0
caltech,0,0,0,7,0,0,0,1
years,0,0,0,5,0,0,0,0
in,0,0,0,2,0,0,0,0
californiastateuniversity--fresno,0,1,1,33,1,0,0,1
ranking,0,0,0,7,0,0,0,0
csu—fresno,0,0,0,12,0,0,0,1
fresnostate—fresno,0,0,0,20,0,0,0,1
organizations,0,0,0,13,0,0,0,0
bulldogs,0,0,0,8,0,0,0,0
californiastateuniversity--fullerton,0,1,1,36,1,0,0,1
csu--fullerton,0,0,0,14,1,0,0,1
school,0,0,0,6,0,0,0,0
csuf,0,0,0,4,0,1,0,1
