_id,ltable_id,rtable_id,ltable_title,ltable_year,rtable_title,rtable_year,label
116,114428,11123,buck fury: my side of the story,2011,american horror story,2011,0
1281,809924,158876,una noche en la guarida del ?ngel: el atraco,2015,morfi  todos a la mesa,2015,0
443,361597,160879,justin bieber's road to the video music awards,2010,music nuggets,2010,0
884,691846,645717,the adventure of sherlock holmes' smarter brother,1975,the adventure of sherlock holmes smarter brother,1975,1
1271,802847,578250,twice as dead,2009,play dead,2009,0
779,602412,201144,rongdhonu: a story of an artist,2015,sasha  the princess of darkness,2015,0
1282,809924,158904,una noche en la guarida del ?ngel: el atraco,2015,morfi  todos a la mesa,2015,0
83,80325,358710,bajrangi bhaijaan,2015,bajrangi bhaijaan,2015,1
556,432508,521122,live  love and learn,1937,live  love and learn,1937,1
18,15622,350165,a cup of gay,2015,animal house of blues 33 1/3,2015,0
887,692094,586692,the adventures of pluto nash,2002,queen of the damned,2002,0
13,14021,434949,a bullet in the mind's eye,2007,eye see me,2007,0
1533,860905,404351,you love me i hate you,1994,dance me outside,1994,0
398,323062,480379,i mama menya prostit,1975,i mama menya prostit,1975,1
1020,734248,236511,the legend of the bat,2008,the art of... when youre hot  young  poor and a filmmaker!,2008,0
242,225487,320687,encounters at the end of the world,2007,word world,2007,0
1500,854875,467035,xxx live,2007,heaven and hell: live from radio city music hall,2007,0
1602,868209,715750,zork & zamien's big day out,2004,wwe day of reckoning,2004,0
451,372826,540256,kidz bop: live at the house of blues,2008,middle of nowhere,2008,0
1505,856345,247895,y?vuoro: night of the living doll,1995,the history of rock n roll,1995,0
1107,746490,467031,the old  weird america: harry smith's anthology of american folk music,2007,heaven and hell: live from radio city music hall,2007,0
519,407616,593177,lapse of fascia,2005,return of the living dead: necropolis,2005,0
669,522033,180734,of love and breakfast,2011,person of interest,2011,0
1567,862165,699689,your second chance,2016,tony robbins: i am not your guru,2016,0
1131,755699,496043,the revenge of the teenage vixens from outer space,1985,just one of the guys,1985,0
880,683213,306608,tape me: reel 1,2011,tu cara me suena,2011,0
164,153953,668240,cost of living,2010,the king of fighters,2010,0
990,728390,639815,the inevitable defeat of mister & pete,2013,tao of simon,2013,0
