_id,ltable_id,rtable_id,ltable_title,ltable_year,rtable_title,rtable_year
0,719,623977,'til death do us part,1998,soul music festival: part iv,1998.0
1,1143,665397,...because it is my heart,2010,the hooker with a heart of gold,2010.0
2,1987,326596,10 a?os con bebe,2016,10 años con bebe,2016.0
3,2584,326968,11?25 jiketsu no hi: mishima yukio to wakamono-tachi,2012,11·25 jiketsu no hi: mishima yukio to wakamono-tachi,2012.0
4,4570,20064,2007 tec les paul award honoring al kooper,2007,avro junior songfestival 2007,2007.0
5,4570,119069,2007 tec les paul award honoring al kooper,2007,idool 2007,2007.0
6,4570,167497,2007 tec les paul award honoring al kooper,2007,no disparen al pianista,2007.0
7,5045,545144,24 hour party people,2002,more married people  single sex,2002.0
8,5097,109771,24 cuadros de terror,2008,hijos de babel,2008.0
9,5097,701527,24 cuadros de terror,2008,trailer park of terror,2008.0
10,5097,707271,24 cuadros de terror,2008,un conte de noël,2008.0
11,8126,330487,6 simpatiche carogne - uno scacco tutto matto,1968,6 simpatiche carogne - uno scacco tutto matto,1968.0
12,8638,330697,7 mujeres  1 homosexual y carlos,2004,7 mujeres  1 homosexual y carlos,2004.0
13,14021,434949,a bullet in the mind's eye,2007,eye see me,2007.0
14,14729,331885,a choice to yield,2015,a choice to yield,2015.0
15,15210,332290,a constant forge,2000,a constant forge,2000.0
16,15622,42054,a cup of gay,2015,capital one cup tonight,2015.0
17,15622,201144,a cup of gay,2015,sasha  the princess of darkness,2015.0
18,15622,350165,a cup of gay,2015,animal house of blues 33 1/3,2015.0
19,15622,427477,a cup of gay,2015,el making of del disc de la marató,2015.0
20,15622,503017,a cup of gay,2015,knight of cups,2015.0
21,16146,247895,a day in the life of a 6 ft. black man,1995,the history of rock n roll,1995.0
22,16146,437438,a day in the life of a 6 ft. black man,1995,father of the bride part ii,1995.0
23,16146,530081,a day in the life of a 6 ft. black man,1995,magic gift of the snowman,1995.0
24,16146,651280,a day in the life of a 6 ft. black man,1995,the bridges of madison county,1995.0
25,20395,715750,a league of ordinary gentlemen,2004,wwe day of reckoning,2004.0
26,22074,545774,a mexican wrestler's day off,2010,mothers day,2010.0
27,22948,463060,a native of new york in beijing,2016,hands of stone,2016.0
28,22948,475582,a native of new york in beijing,2016,hounds of zaroff,2016.0
29,23240,588784,a night at the office,2012,rainy night,2012.0
30,23290,334956,a night in the life of jimmy reardon,1988,a night in the life of jimmy reardon,1988.0
31,24455,309718,a portrait of louise,2009,united states of tara,2009.0
32,24455,437456,a portrait of louise,2009,fathers of girls,2009.0
33,26384,430747,a silent history of the blood countess,2003,end of the century,2003.0
34,26384,535918,a silent history of the blood countess,2003,mayor of the sunset strip,2003.0
35,26384,655867,a silent history of the blood countess,2003,the delicate art of parking,2003.0
36,27233,139105,a stiff upper lip,2010,lip service,2010.0
37,29043,343528,a very larry christmas,2013,all american christmas carol,2013.0
38,29043,391689,a very larry christmas,2013,christmas in the city,2013.0
39,29661,463060,a week in the life of gillian quigley,2016,hands of stone,2016.0
40,29661,475582,a week in the life of gillian quigley,2016,hounds of zaroff,2016.0
41,30889,506796,a la deriva,2009,la barrera del sonido,2009.0
42,30889,506813,a la deriva,2009,la barrera del sonido,2009.0
43,32239,337824,aa dekhen zara,2009,aa dekhen zara,2009.0
44,32456,337888,aagey se right,2009,aagey se right,2009.0
45,35348,339190,acht m?dels im boot,1932,acht mädels im boot,1932.0
46,39633,341053,agarrando parejo,1964,agarrando parejo,1964.0
47,40532,341231,ah! les belles bacchantes,1954,ah! les belles bacchantes,1954.0
48,45246,343020,alice upside down,2007,alice upside down,2007.0
49,45386,700076,alice: a love story,2014,top of the pops: the story of 1979,2014.0
50,45465,338638,alien crash at roswell: the ufo truth lost in time,2013,about time,2013.0
51,46031,343528,all american christmas carol,2013,all american christmas carol,2013.0
52,46031,391689,all american christmas carol,2013,christmas in the city,2013.0
53,47486,344347,alle kann ich nicht heiraten,1952,alle kann ich nicht heiraten,1952.0
54,47942,344535,allt flyter,2008,allt flyter,2008.0
55,51551,346942,american ninja 2: the confrontation,1987,american ninja 2: the confrontation,1987.0
56,54167,33814,an existential rupturing of hedonistic schemas,2011,body of proof,2011.0
57,54167,180734,an existential rupturing of hedonistic schemas,2011,person of interest,2011.0
58,54167,235690,an existential rupturing of hedonistic schemas,2011,the adventures of superseven,2011.0
59,54167,657576,an existential rupturing of hedonistic schemas,2011,the economics of happiness,2011.0
