_id,ltable_id,rtable_id,ltable_title,ltable_year,rtable_title,rtable_year,label
1,1143,665397,...because it is my heart,2010,the hooker with a heart of gold,2010,0
6,4570,167497,2007 tec les paul award honoring al kooper,2007,no disparen al pianista,2007,0
11,8126,330487,6 simpatiche carogne - uno scacco tutto matto,1968,6 simpatiche carogne - uno scacco tutto matto,1968,1
13,14021,434949,a bullet in the mind's eye,2007,eye see me,2007,0
15,15210,332290,a constant forge,2000,a constant forge,2000,1
18,15622,350165,a cup of gay,2015,animal house of blues 33 1/3,2015,0
19,15622,427477,a cup of gay,2015,el making of del disc de la marató,2015,0
24,16146,651280,a day in the life of a 6 ft. black man,1995,the bridges of madison county,1995,0
27,22948,463060,a native of new york in beijing,2016,hands of stone,2016,0
36,27233,139105,a stiff upper lip,2010,lip service,2010,0
38,29043,391689,a very larry christmas,2013,christmas in the city,2013,0
41,30889,506796,a la deriva,2009,la barrera del sonido,2009,0
42,30889,506813,a la deriva,2009,la barrera del sonido,2009,0
47,40532,341231,ah! les belles bacchantes,1954,ah! les belles bacchantes,1954,1
53,47486,344347,alle kann ich nicht heiraten,1952,alle kann ich nicht heiraten,1952,1
56,54167,33814,an existential rupturing of hedonistic schemas,2011,body of proof,2011,0
57,54167,180734,an existential rupturing of hedonistic schemas,2011,person of interest,2011,0
60,55002,411374,an der saale hellem strande - ein kulturhaus erz?hlt,2010,der letzte weynfeldt,2010,0
62,58134,349969,angora love,1929,angora love,1929,1
65,58486,427477,animal house of blues 33 1/3,2015,el making of del disc de la marató,2015,0
66,58486,503017,animal house of blues 33 1/3,2015,knight of cups,2015,0
68,61764,158876,ao la xing: jin ji sheng dian,2015,morfi  todos a la mesa,2015,0
74,73917,355660,avant qu'il ne soit trop tard,2005,avant quil ne soit trop tard,2005,1
83,80325,358710,bajrangi bhaijaan,2015,bajrangi bhaijaan,2015,1
93,95865,30845,big sister. because of you,2009,big time rush,2009,0
94,95865,31029,big sister. because of you,2009,big time rush,2009,0
105,102549,657576,blood of the amazon,2011,the economics of happiness,2011,0
106,103507,502663,blue october  the things we do at night concert,2016,klangstof: we are your receiver,2016,0
110,111731,175426,bright brand new day,2013,orange is the new black,2013,0
111,111731,600542,bright brand new day,2013,runaway day,2013,0
116,114428,11123,buck fury: my side of the story,2011,american horror story,2011,0
121,114428,657576,buck fury: my side of the story,2011,the economics of happiness,2011,0
125,119797,382162,cabin in the sky,1943,cabin in the sky,1943,1
126,122223,383396,camp hell,2010,camp rock 2: the final jam,2010,0
128,122535,383567,campus sleuth,1948,campus sleuth,1948,1
131,122606,502663,can we all get along?,2016,klangstof: we are your receiver,2016,0
132,125334,384848,cari fottutissimi amici,1994,cari fottutissimi amici,1994,1
139,134470,228289,cheias de charme: o filme,2016,sueño de amor,2016,0
140,136992,33814,children of the sun,2011,body of proof,2011,0
152,144491,714120,club all in. la apuesta final,2014,violetta: la emoción del concierto,2014,0
156,146628,668240,collision of parts,2010,the king of fighters,2010,0
164,153953,668240,cost of living,2010,the king of fighters,2010,0
172,171584,350165,days of dust,2015,animal house of blues 33 1/3,2015,0
175,171796,228289,de chair et de sang,2016,sueño de amor,2016,0
178,171916,384215,de kluizenaar,2009,canção de amor e saúde,2009,0
179,172310,133214,de causas y azares,2007,la tele de tu vida,2007,0
183,172310,425725,de causas y azares,2007,eiga de tôjô! tamagotchi dokidoki! uchû no maigotchi?!,2007,0
192,180327,70070,der himmel k??t die berge - maria & margot hellwig,1995,die harald schmidt show,1995,0
196,187983,70694,die ausbildung,2011,die große chance,2011,0
200,193873,159452,discovering masterpieces of classical music: wolfgang amadeus mozart,2014,mozart in the jungle,2014,0
201,193873,700076,discovering masterpieces of classical music: wolfgang amadeus mozart,2014,top of the pops: the story of 1979,2014,0
202,194423,416651,distant voices  still lives,1988,distant voices  still lives,1988,1
205,195584,693141,do not leave me with strangers,2007,then she found me,2007,0
211,210072,665397,echoes of a storyteller,2010,the hooker with a heart of gold,2010,0
216,212003,133214,eiga de t?j?! tamagotchi dokidoki! uch? no maigotchi?!,2007,la tele de tu vida,2007,0
220,212003,167497,eiga de t?j?! tamagotchi dokidoki! uch? no maigotchi?!,2007,no disparen al pianista,2007,0
222,212766,425957,eine bewegung der zeit,1988,eine bewegung der zeit,1988,1
225,216285,427068,el cielo  probablemente,2012,el eco del miedo,2012,1
242,225487,320687,encounters at the end of the world,2007,word world,2007,0
245,227062,431217,enter the void,2009,enter the void,2009,1
251,230220,432203,eskimo brothers,2016,eskimo brothers,2016,1
252,230220,432206,eskimo brothers,2016,eskimo brothers,2016,1
254,239079,149774,fallujah the real story of the fall,2005,masters of horror,2005,0
262,241501,595053,fat  sick & nearly dead 2,2014,rio 2,2014,0
264,242901,556583,federal bureau of manners: the nod,2010,night of pop,2010,0
265,242901,665397,federal bureau of manners: the nod,2010,the hooker with a heart of gold,2010,0
266,242901,668240,federal bureau of manners: the nod,2010,the king of fighters,2010,0
278,255194,467701,forever beautiful,2012,hell on wheels gang girls forever,2012,0
279,255398,442633,forget my name,2008,for my wife...,2008,0
281,257582,639815,frames of mind,2013,tao of simon,2013,0
290,269716,124566,gentleman & the far east band live,2003,jimmy kimmel live!,2003,0
293,269966,413730,george lucas and anakin skywalker react to new star wars teaser,2014,dick clarks primetime new years rockin eve with ryan seacrest 2015,2014,0
295,273283,437438,giovanni's world of music,1995,father of the bride part ii,1995,0
296,273283,530081,giovanni's world of music,1995,magic gift of the snowman,1995,0
298,273832,236511,girls gone wild: best of sex in sin city,2008,the art of... when youre hot  young  poor and a filmmaker!,2008,0
299,273832,540256,girls gone wild: best of sex in sin city,2008,middle of nowhere,2008,0
302,273832,646903,girls gone wild: best of sex in sin city,2008,the art of kissing,2008,0
303,273832,674870,girls gone wild: best of sex in sin city,2008,the mysteries of pittsburgh,2008,0
306,276586,206616,god  sex & apple pie,1998,sex and the city,1998,0
308,276586,439814,god  sex & apple pie,1998,fiona apple: across the universe,1998,0
313,283166,138138,grief becomes me: a love story,2009,lie to me,2009,0
314,283166,138147,grief becomes me: a love story,2009,lie to me,2009,0
319,285095,525922,guilty of love,2001,love the hard way,2001,0
329,298178,467288,hectic knife,2016,hectic knife,2016,0
331,298748,350165,heirs of the soil,2015,animal house of blues 33 1/3,2015,0
336,299196,593595,hell of a job,2012,revenge of the petites,2012,0
340,302412,469249,herra huu - jestapa jepulis - penikat sipuliks,1973,herra huu - jestapa jepulis - penikat sipuliks,1973,1
342,304016,548526,high fidelity,2012,music high,2012,0
344,309642,236511,holodomor: ukraine's genocide of 1932-33,2008,the art of... when youre hot  young  poor and a filmmaker!,2008,0
345,309642,540256,holodomor: ukraine's genocide of 1932-33,2008,middle of nowhere,2008,0
354,313064,475282,hot chocolate,2015,hot tub time machine 2,2015,0
358,313942,475582,hounds of zaroff,2016,hounds of zaroff,2016,1
362,314254,475582,house of purgatory,2016,hounds of zaroff,2016,0
370,315696,24756,how to lose friends & alienate people,2008,beautiful people,2008,0
371,315696,476577,how to lose friends & alienate people,2008,how to lose friends & alienate people,2008,0
374,316892,200507,huellas en el cielo  jorge loring y la odisea del zepel?n,2012,salve jorge,2012,0
377,316919,93695,huespedes de la guerra,2007,fuego en la sangre,2007,0
385,317873,477601,hung fan kui,1995,hung fan kui,1995,1
387,320419,616048,i feel like a hero,2012,sing me the songs that say i love you: a concert for kate mcgarrigle,2012,0
395,322034,114187,i was a dancer,2005,how i met your mother,2005,0
398,323062,480379,i mama menya prostit,1975,i mama menya prostit,1975,1
409,334010,282829,in search of a sunset,2013,the voice of the philippines,2013,0
410,334010,639815,in search of a sunset,2013,tao of simon,2013,0
413,335070,412990,in the company of angels,2005,devons ghost: legend of the bloody boy,2005,0
417,338742,175426,innersection: black,2013,orange is the new black,2013,0
418,338742,175755,innersection: black,2013,orphan black,2013,0
419,338838,681392,innocent revenge,1985,the revenge of the teenage vixens from outer space,1985,0
420,340213,30845,integral of time,2009,big time rush,2009,0
422,340213,309718,integral of time,2009,united states of tara,2009,0
427,355760,492828,joe strummer: the future is unwritten,2007,joe strummer: the future is unwritten,2007,1
429,356315,251792,john plough's the dance of hands,2012,the legend of korra,2012,0
432,357498,349229,josef & horazio - die typen aus liebesfluch,2013,and then you die!,2013,0
434,358273,494286,joven y alocada,2012,joven y alocada,2012,1
442,361190,699689,just your average halloween party,2016,tony robbins: i am not your guru,2016,0
443,361597,160879,justin bieber's road to the video music awards,2010,music nuggets,2010,0
445,369103,498661,kauas pilvet karkaavat,1996,kauas pilvet karkaavat,1996,1
446,369974,462646,keep the party going,2012,halloween party,2012,0
448,372826,236511,kidz bop: live at the house of blues,2008,the art of... when youre hot  young  poor and a filmmaker!,2008,0
451,372826,540256,kidz bop: live at the house of blues,2008,middle of nowhere,2008,0
454,372826,646903,kidz bop: live at the house of blues,2008,the art of kissing,2008,0
459,373261,306322,kill me now,2013,tu cara me suena - argentina,2013,0
466,389939,99951,la ?ltima proyecci?n,2014,gomorra - la serie,2014,0
468,390514,506474,la fiesta de santa barbara,1935,la fiesta de santa barbara,1935,1
476,393893,132826,la corporaci?n,2012,la mujer del vendaval,2012,0
480,395836,158904,la fin,2015,morfi  todos a la mesa,2015,0
501,403563,132826,la tuna ,2012,la mujer del vendaval,2012,0
502,403563,318694,la tuna ,2012,wicked tuna,2012,0
503,403844,506827,la venganza de la sombra,1962,la bella lola,1962,0
506,404290,714120,la vie en rose comme dans les films,2014,violetta: la emoción del concierto,2014,0
507,405365,480494,ladies in love,1936,id love to take orders from you,1936,0
515,407285,510969,lanfranchi's memorial discotheque,2010,lanfranchis memorial discotheque,2010,1
518,407616,538038,lapse of fascia,2005,memoirs of a geisha,2005,0
519,407616,593177,lapse of fascia,2005,return of the living dead: necropolis,2005,0
523,411889,513017,le bassin de j.w.,1997,le bassin de j.w.,1997,1
527,412588,506739,le chemin de la mauvaise route,1963,la baie des anges,1963,0
530,418649,149774,leaving home  coming home: a portrait of robert frank,2005,masters of horror,2005,0
533,418649,593177,leaving home  coming home: a portrait of robert frank,2005,return of the living dead: necropolis,2005,0
536,423461,96186,les paysans  60 ans de r?volution,2010,gent de paraula,2010,0
547,427561,606869,life is not a musical: the musical,2010,score: a hockey musical,2010,0
549,427580,545383,life is a banquet,2009,morris: a life with bells on,2009,0
550,428260,349229,life's a bitch  and then you're dead,2013,and then you die!,2013,0
551,429018,475282,lights  camera  action time lapse,2015,hot tub time machine 2,2015,0
555,431632,519875,little losers,2004,little black book,2004,0
556,432508,521122,live  love and learn,1937,live  love and learn,1937,1
559,433079,715750,lizard kings: making of giants of patagonia,2004,wwe day of reckoning,2004,0
561,434266,31234,logic of the birds,2002,birds of prey,2002,0
566,434266,692791,logic of the birds,2002,the yogis of tibet,2002,0
569,437963,427068,los ojos del ?ngel,2012,el eco del miedo,2012,0
570,438031,523697,los peores a?os de nuestra vida,1994,los peores años de nuestra vida,1994,1
582,461440,657576,mater suspiria vision: seduction of the armageddon witches,2011,the economics of happiness,2011,0
588,465268,427477,mega ran & bag of tricks cat: bound to be,2015,el making of del disc de la marató,2015,0
591,466699,236511,memoirs of the last samurai's geisha,2008,the art of... when youre hot  young  poor and a filmmaker!,2008,0
600,467078,548526,memphis gold: blues behind the music documentary,2012,music high,2012,0
601,468822,556583,meshes of the afternoon  later,2010,night of pop,2010,0
603,468822,668240,meshes of the afternoon  later,2010,the king of fighters,2010,0
606,469720,556257,mexican donald trump hosts mexican saturday night live,2015,night fall,2015,0
610,470912,518575,michael jackson: the life and times of the king of pop,2009,life by lobster,2009,0
617,479974,543680,mon p?re  ma m?re  mes fr?res et mes soeurs,1999,mon père  ma mère  mes frères et mes soeurs,1999,1
618,480432,226736,money wars,2010,storage wars,2010,1
620,482418,251792,more afraid of you,2012,the legend of korra,2012,0
621,482418,593595,more afraid of you,2012,revenge of the petites,2012,0
629,483397,506796,mosca detr?s de la oreja de bart?k,2009,la barrera del sonido,2009,0
633,486801,547263,mrs. miniver,1942,mrs. miniver,1942,1
