MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,Exterior1st,ExterQual,Foundation,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
60,RL,8450,Inside,CollgCr,1Fam,2Story,7,5,2003,Gable,VinylSd,Gd,PConc,706,150,856,GasA,856,854,1710,1,0,2,1,3,1,Gd,2,548,0,61,0,2,2008,208500
20,RL,9600,FR2,Veenker,1Fam,1Story,6,8,1976,Gable,MetalSd,TA,CBlock,978,284,1262,GasA,1262,0,1262,0,1,2,0,3,1,TA,2,460,298,0,0,5,2007,181500
60,RL,11250,Inside,CollgCr,1Fam,2Story,7,5,2001,Gable,VinylSd,Gd,PConc,486,434,920,GasA,920,866,1786,1,0,2,1,3,1,Gd,2,608,0,42,0,9,2008,223500
70,RL,9550,Corner,Crawfor,1Fam,2Story,7,5,1915,Gable,Wd Sdng,TA,BrkTil,216,540,756,GasA,961,756,1717,1,0,1,0,3,1,Gd,3,642,0,35,272,2,2006,140000
60,RL,14260,FR2,NoRidge,1Fam,2Story,8,5,2000,Gable,VinylSd,Gd,PConc,655,490,1145,GasA,1145,1053,2198,1,0,2,1,4,1,Gd,3,836,192,84,0,12,2008,250000
50,RL,14115,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,Gable,VinylSd,TA,Wood,732,64,796,GasA,796,566,1362,1,0,1,1,1,1,TA,2,480,40,30,0,10,2009,143000
20,RL,10084,Inside,Somerst,1Fam,1Story,8,5,2004,Gable,VinylSd,Gd,PConc,1369,317,1686,GasA,1694,0,1694,1,0,2,0,3,1,Gd,2,636,255,57,0,8,2007,307000
60,RL,10382,Corner,NWAmes,1Fam,2Story,7,6,1973,Gable,HdBoard,TA,CBlock,859,216,1107,GasA,1107,983,2090,1,0,2,1,3,1,TA,2,484,235,204,228,11,2009,200000
50,RM,6120,Inside,OldTown,1Fam,1.5Fin,7,5,1931,Gable,BrkFace,TA,BrkTil,0,952,952,GasA,1022,752,1774,0,0,2,0,2,2,TA,2,468,90,0,205,4,2008,129900
190,RL,7420,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,Gable,MetalSd,TA,BrkTil,851,140,991,GasA,1077,0,1077,1,0,1,0,2,2,TA,1,205,0,4,0,1,2008,118000
20,RL,11200,Inside,Sawyer,1Fam,1Story,5,5,1965,Hip,HdBoard,TA,CBlock,906,134,1040,GasA,1040,0,1040,1,0,1,0,3,1,TA,1,384,0,0,0,2,2008,129500
60,RL,11924,Inside,NridgHt,1Fam,2Story,9,5,2005,Hip,WdShing,Ex,PConc,998,177,1175,GasA,1182,1142,2324,1,0,3,0,4,1,Ex,3,736,147,21,0,7,2006,345000
20,RL,12968,Inside,Sawyer,1Fam,1Story,5,6,1962,Hip,HdBoard,TA,CBlock,737,175,912,GasA,912,0,912,1,0,1,0,2,1,TA,1,352,140,0,0,9,2008,144000
20,RL,10652,Inside,CollgCr,1Fam,1Story,7,5,2006,Gable,VinylSd,Gd,PConc,0,1494,1494,GasA,1494,0,1494,0,0,2,0,3,1,Gd,3,840,160,33,0,8,2007,279500
20,RL,10920,Corner,NAmes,1Fam,1Story,6,5,1960,Hip,MetalSd,TA,CBlock,733,520,1253,GasA,1253,0,1253,1,0,1,1,2,1,TA,1,352,0,213,176,5,2008,157000
45,RM,6120,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,Gable,Wd Sdng,TA,BrkTil,0,832,832,GasA,854,0,854,0,0,1,0,2,1,TA,2,576,48,112,0,7,2007,132000
20,RL,11241,CulDSac,NAmes,1Fam,1Story,6,7,1970,Gable,Wd Sdng,TA,CBlock,578,426,1004,GasA,1004,0,1004,1,0,1,0,2,1,TA,2,480,0,0,0,3,2010,149000
90,RL,10791,Inside,Sawyer,Duplex,1Story,4,5,1967,Gable,MetalSd,TA,Slab,0,0,0,GasA,1296,0,1296,0,0,2,0,2,2,TA,2,516,0,0,0,10,2006,90000
20,RL,13695,Inside,SawyerW,1Fam,1Story,5,5,2004,Gable,VinylSd,TA,PConc,646,468,1114,GasA,1114,0,1114,1,0,1,1,3,1,Gd,2,576,0,102,0,6,2008,159000
20,RL,7560,Inside,NAmes,1Fam,1Story,5,6,1958,Hip,BrkFace,TA,CBlock,504,525,1029,GasA,1339,0,1339,0,0,1,0,3,1,TA,1,294,0,0,0,5,2009,139000
60,RL,14215,Corner,NridgHt,1Fam,2Story,8,5,2005,Gable,VinylSd,Gd,PConc,0,1158,1158,GasA,1158,1218,2376,0,0,3,1,4,1,Gd,3,853,240,154,0,11,2006,325300
45,RM,7449,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,Gable,Wd Sdng,TA,PConc,0,637,637,GasA,1108,0,1108,0,0,1,0,3,1,Gd,1,280,0,0,205,6,2007,139400
20,RL,9742,Inside,CollgCr,1Fam,1Story,8,5,2002,Hip,VinylSd,Gd,PConc,0,1777,1777,GasA,1795,0,1795,0,0,2,0,3,1,Gd,2,534,171,159,0,9,2008,230000
120,RM,4224,Inside,MeadowV,TwnhsE,1Story,5,7,1976,Gable,CemntBd,TA,PConc,840,200,1040,GasA,1060,0,1060,1,0,1,0,3,1,TA,2,572,100,110,0,6,2007,129900
20,RL,8246,Inside,Sawyer,1Fam,1Story,5,8,1968,Gable,Plywood,TA,CBlock,188,204,1060,GasA,1060,0,1060,1,0,1,0,3,1,Gd,1,270,406,90,0,5,2010,154000
20,RL,14230,Corner,NridgHt,1Fam,1Story,8,5,2007,Gable,VinylSd,Gd,PConc,0,1566,1566,GasA,1600,0,1600,0,0,2,0,3,1,Gd,3,890,0,56,0,7,2009,256300
20,RL,7200,Corner,NAmes,1Fam,1Story,5,7,1951,Gable,Wd Sdng,TA,CBlock,234,180,900,GasA,900,0,900,0,1,1,0,3,1,Gd,2,576,222,32,0,5,2010,134800
20,RL,11478,Inside,NridgHt,1Fam,1Story,8,5,2007,Gable,VinylSd,Gd,PConc,1218,486,1704,GasA,1704,0,1704,1,0,2,0,3,1,Gd,3,772,0,50,0,5,2010,306000
20,RL,16321,CulDSac,NAmes,1Fam,1Story,5,6,1957,Gable,MetalSd,TA,CBlock,1277,207,1484,GasA,1600,0,1600,1,0,1,0,2,1,TA,1,319,288,258,0,12,2006,207500
30,RM,6324,Inside,BrkSide,1Fam,1Story,4,6,1927,Gable,MetalSd,TA,BrkTil,0,520,520,GasA,520,0,520,0,0,1,0,1,1,Fa,1,240,49,0,87,5,2008,68500
70,C (all),8500,Inside,IDOTRR,1Fam,2Story,4,4,1920,Gambrel,BrkFace,TA,BrkTil,0,649,649,GasA,649,668,1317,0,0,1,0,3,1,TA,1,250,0,54,172,7,2008,40000
20,RL,8544,CulDSac,Sawyer,1Fam,1Story,5,6,1966,Gable,HdBoard,TA,CBlock,0,1228,1228,GasA,1228,0,1228,0,0,1,1,3,1,Gd,1,271,0,65,0,6,2008,149350
20,RL,11049,Corner,CollgCr,1Fam,1Story,8,5,2007,Gable,VinylSd,Gd,PConc,0,1234,1234,GasA,1234,0,1234,0,0,2,0,3,1,Gd,2,484,0,30,0,1,2008,179900
20,RL,10552,Inside,NAmes,1Fam,1Story,5,5,1959,Hip,BrkFace,TA,CBlock,1018,380,1398,GasA,1700,0,1700,0,1,1,1,4,1,Gd,2,447,0,38,0,4,2010,165500
120,RL,7313,Inside,NridgHt,TwnhsE,1Story,9,5,2005,Hip,MetalSd,Ex,PConc,1153,408,1561,GasA,1561,0,1561,1,0,2,0,2,1,Ex,2,556,203,47,0,8,2007,277500
60,RL,13418,Inside,NridgHt,1Fam,2Story,8,5,2004,Gable,VinylSd,Gd,PConc,0,1117,1117,GasA,1132,1320,2452,0,0,3,1,4,1,Gd,3,691,113,32,0,9,2006,309000
20,RL,10859,Corner,CollgCr,1Fam,1Story,5,5,1994,Gable,VinylSd,TA,PConc,0,1097,1097,GasA,1097,0,1097,0,0,1,1,3,1,TA,2,672,392,64,0,6,2009,145000
20,RL,8532,Inside,NAmes,1Fam,1Story,5,6,1954,Hip,Wd Sdng,TA,CBlock,1213,84,1297,GasA,1297,0,1297,0,1,1,0,3,1,TA,2,498,0,0,0,10,2009,153000
20,RL,7922,Inside,NAmes,1Fam,1Story,5,7,1953,Gable,VinylSd,TA,CBlock,731,326,1057,GasA,1057,0,1057,1,0,1,0,3,1,Gd,1,246,0,52,0,1,2010,109000
90,RL,6040,Inside,Edwards,Duplex,1Story,4,5,1955,Gable,AsbShng,TA,PConc,0,0,0,GasA,1152,0,1152,0,0,2,0,2,2,Fa,0,0,0,0,0,6,2008,82000
20,RL,8658,Inside,NAmes,1Fam,1Story,6,5,1965,Gable,Wd Sdng,TA,CBlock,643,445,1088,GasA,1324,0,1324,0,0,2,0,3,1,TA,2,440,0,138,0,12,2006,160000
20,RL,16905,Inside,Timber,1Fam,1Story,5,6,1959,Gable,VinylSd,TA,CBlock,967,383,1350,GasA,1328,0,1328,0,1,1,1,2,1,TA,1,308,0,104,0,7,2007,170000
85,RL,9180,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,Gable,HdBoard,TA,CBlock,747,0,840,GasA,884,0,884,1,0,1,0,2,1,Gd,2,504,240,0,0,12,2007,144000
20,RL,9200,CulDSac,CollgCr,1Fam,1Story,5,6,1975,Hip,VinylSd,TA,CBlock,280,167,938,GasA,938,0,938,1,0,1,0,3,1,TA,1,308,145,0,0,7,2008,130250
20,RL,7945,Inside,NAmes,1Fam,1Story,5,6,1959,Gable,BrkFace,TA,CBlock,179,465,1150,GasA,1150,0,1150,1,0,1,0,3,1,TA,1,300,0,0,0,5,2006,141000
120,RL,7658,Inside,NridgHt,TwnhsE,1Story,9,5,2005,Hip,MetalSd,Ex,PConc,456,1296,1752,GasA,1752,0,1752,1,0,2,0,2,1,Ex,2,576,196,82,0,2,2010,319900
50,RL,12822,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003,Gable,VinylSd,Gd,PConc,1351,83,1434,GasA,1518,631,2149,1,0,1,1,1,1,Gd,2,670,168,43,0,8,2009,239686
20,FV,11096,Inside,Somerst,1Fam,1Story,8,5,2006,Gable,VinylSd,Gd,PConc,24,1632,1656,GasA,1656,0,1656,0,0,2,0,3,1,Gd,3,826,0,146,0,7,2007,249700
190,RM,4456,Inside,OldTown,2fmCon,2Story,4,5,1920,Gable,MetalSd,TA,BrkTil,0,736,736,GasA,736,716,1452,0,0,2,0,2,3,TA,0,0,0,0,102,6,2009,113000
20,RL,7742,Inside,Sawyer,1Fam,1Story,5,7,1966,Gable,HdBoard,TA,CBlock,763,192,955,GasA,955,0,955,1,0,1,0,3,1,TA,1,386,0,0,0,1,2007,127000
60,RL,13869,Corner,Gilbert,1Fam,2Story,6,6,1997,Gable,VinylSd,TA,PConc,182,612,794,GasA,794,676,1470,0,1,2,0,3,1,TA,2,388,0,75,0,7,2007,177000
50,RM,6240,Inside,BrkSide,1Fam,1.5Fin,6,6,1934,Gable,Wd Sdng,TA,PConc,0,816,816,GasA,816,0,1176,0,0,1,0,3,1,TA,2,528,112,0,0,9,2006,114500
90,RM,8472,Corner,IDOTRR,Duplex,1Story,5,5,1963,Gable,Wd Sdng,Fa,CBlock,104,0,816,GasA,816,0,816,1,0,1,0,2,1,TA,2,516,106,0,0,5,2010,110000
20,RL,50271,Inside,Veenker,1Fam,1Story,9,5,1981,Gable,WdShing,Gd,CBlock,1810,32,1842,GasA,1842,0,1842,2,0,0,1,0,1,Gd,3,894,857,72,0,11,2006,385000
80,RL,7134,Inside,NAmes,1Fam,SLvl,5,5,1955,Gable,MetalSd,TA,CBlock,384,0,384,GasA,1360,0,1360,0,0,1,0,3,1,TA,2,572,0,50,0,2,2007,130000
20,RL,10175,Inside,NAmes,1Fam,1Story,6,5,1964,Gable,HdBoard,TA,CBlock,490,935,1425,GasA,1425,0,1425,0,0,2,0,3,1,TA,2,576,0,0,0,7,2008,180500
160,FV,2645,Inside,Somerst,Twnhs,2Story,8,5,1999,Gable,MetalSd,Gd,PConc,649,321,970,GasA,983,756,1739,1,0,2,1,3,1,Gd,2,480,115,0,0,8,2009,172500
60,RL,11645,Corner,CollgCr,1Fam,2Story,7,5,2004,Gable,VinylSd,Gd,PConc,0,860,860,GasA,860,860,1720,0,0,2,1,3,1,Gd,2,565,0,70,0,8,2006,196500
60,RL,13682,CulDSac,StoneBr,1Fam,2Story,10,5,2006,Hip,VinylSd,Ex,PConc,0,1410,1410,GasA,1426,1519,2945,0,0,3,1,3,1,Gd,3,641,192,0,37,10,2006,438780
20,RL,7200,Inside,CollgCr,1Fam,1Story,5,7,1972,Gable,HdBoard,TA,CBlock,632,148,780,GasA,780,0,780,0,0,1,0,2,1,TA,1,352,196,0,0,1,2008,124900
20,RL,13072,Inside,SawyerW,1Fam,1Story,6,5,2004,Gable,VinylSd,TA,PConc,941,217,1158,GasA,1158,0,1158,1,0,1,1,3,1,Gd,2,576,0,50,0,5,2006,158000
75,RM,7200,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,Gable,MetalSd,TA,BrkTil,0,530,530,GasA,581,530,1111,0,0,1,0,3,1,Fa,1,288,0,0,144,3,2007,101000
120,RL,6442,Inside,NridgHt,TwnhsE,1Story,8,5,2006,Gable,VinylSd,Gd,PConc,24,1346,1370,GasA,1370,0,1370,0,0,2,0,2,1,Gd,2,484,120,49,0,10,2007,202500
70,RM,10300,Inside,OldTown,1Fam,2Story,7,6,1921,Gable,Stucco,TA,BrkTil,0,576,576,GasA,902,808,1710,0,0,2,0,3,1,TA,2,480,12,11,64,4,2010,140000
60,RL,9375,Inside,CollgCr,1Fam,2Story,7,5,1997,Gable,VinylSd,TA,PConc,739,318,1057,GasA,1057,977,2034,1,0,2,1,3,1,Gd,2,645,576,36,0,2,2009,219500
60,RL,9591,Inside,NridgHt,1Fam,2Story,8,5,2004,Gable,VinylSd,Gd,PConc,0,1143,1143,GasA,1143,1330,2473,0,0,2,1,4,1,Gd,3,852,192,151,0,10,2007,317000
20,RL,19900,Inside,NAmes,1Fam,1Story,7,5,1970,Gable,Plywood,TA,CBlock,912,1035,1947,GasA,2207,0,2207,1,0,2,0,3,1,TA,2,576,301,0,0,7,2010,180000
20,RL,10665,Inside,CollgCr,1Fam,1Story,7,5,2003,Gable,VinylSd,Gd,PConc,1013,440,1453,GasA,1479,0,1479,1,0,2,0,3,1,Gd,2,558,144,29,0,6,2007,226000
30,RM,4608,Corner,OldTown,1Fam,1Story,4,6,1945,Gable,MetalSd,TA,CBlock,0,747,747,GasA,747,0,747,0,0,1,0,2,1,TA,1,220,0,0,0,6,2010,80000
50,RL,15593,Corner,ClearCr,1Fam,1.5Fin,7,4,1953,Gable,BrkFace,Gd,CBlock,603,701,1304,GasW,1304,983,2287,0,0,2,0,3,1,TA,2,667,0,21,114,7,2006,225000
20,RL,13651,Inside,NAmes,1Fam,1Story,7,6,1973,Gable,Plywood,TA,CBlock,1880,343,2223,GasA,2223,0,2223,1,0,2,0,3,1,TA,2,516,300,0,0,2,2007,244000
20,RL,7599,Corner,Mitchel,1Fam,1Story,4,6,1982,Gable,HdBoard,TA,CBlock,565,280,845,GasA,845,0,845,1,0,1,0,2,1,TA,2,360,0,0,0,6,2007,129500
60,RL,10141,Corner,Gilbert,1Fam,2Story,7,5,1998,Gable,VinylSd,TA,PConc,0,832,832,GasA,885,833,1718,0,0,2,1,3,1,TA,2,427,0,94,0,12,2009,185000
20,RL,10200,Inside,NAmes,1Fam,1Story,5,7,1954,Gable,Wd Sdng,TA,CBlock,320,404,1086,GasA,1086,0,1086,1,0,1,0,3,1,TA,2,490,0,0,0,5,2010,144900
50,RM,5790,Corner,OldTown,1Fam,2Story,3,6,1915,Gambrel,VinylSd,Gd,CBlock,0,840,840,GasA,840,765,1605,0,0,2,0,3,2,TA,1,379,0,0,202,5,2010,107400
180,RM,1596,Inside,MeadowV,Twnhs,SLvl,4,5,1973,Gable,CemntBd,TA,CBlock,462,0,462,GasA,526,462,988,1,0,1,0,2,1,TA,1,297,120,101,0,11,2009,91000
