MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,SalePrice
60,RL,8450,Inside,CollgCr,1Fam,2Story,7,5,2003,Gable,VinylSd,BrkFace,196,PConc,706,150,856,Ex,856,854,1710,1,0,2,3,1,Gd,208500
20,RL,9600,FR2,Veenker,1Fam,1Story,6,8,1976,Gable,MetalSd,None,0,CBlock,978,284,1262,Ex,1262,0,1262,0,1,2,3,1,TA,181500
60,RL,11250,Inside,CollgCr,1Fam,2Story,7,5,2001,Gable,VinylSd,BrkFace,162,PConc,486,434,920,Ex,920,866,1786,1,0,2,3,1,Gd,223500
70,RL,9550,Corner,Crawfor,1Fam,2Story,7,5,1915,Gable,Wd Sdng,None,0,BrkTil,216,540,756,Gd,961,756,1717,1,0,1,3,1,Gd,140000
60,RL,14260,FR2,NoRidge,1Fam,2Story,8,5,2000,Gable,VinylSd,BrkFace,350,PConc,655,490,1145,Ex,1145,1053,2198,1,0,2,4,1,Gd,250000
50,RL,14115,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,Gable,VinylSd,None,0,Wood,732,64,796,Ex,796,566,1362,1,0,1,1,1,TA,143000
20,RL,10084,Inside,Somerst,1Fam,1Story,8,5,2004,Gable,VinylSd,Stone,186,PConc,1369,317,1686,Ex,1694,0,1694,1,0,2,3,1,Gd,307000
60,RL,10382,Corner,NWAmes,1Fam,2Story,7,6,1973,Gable,HdBoard,Stone,240,CBlock,859,216,1107,Ex,1107,983,2090,1,0,2,3,1,TA,200000
50,RM,6120,Inside,OldTown,1Fam,1.5Fin,7,5,1931,Gable,BrkFace,None,0,BrkTil,0,952,952,Gd,1022,752,1774,0,0,2,2,2,TA,129900
190,RL,7420,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,Gable,MetalSd,None,0,BrkTil,851,140,991,Ex,1077,0,1077,1,0,1,2,2,TA,118000
